Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
56,2.0,0.0,0.0,1342.0,16.0,50.0,3481.0,0.1,28.606000000000023,0.0,0.0,505.9645426273346,,,,,,,,,,,,,,,,,,,,,9.355107621566201,9.49704841811631,28.194605635587227,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1422.0,17.0,80.0,3561.0,0.1,46.206999999999994,0.0,0.0,513.2098021507263,,,,,,,,,,,,,,,,,,,,,19.03598209811512,13.90491796716435,44.77362390633958,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1591.0,18.0,169.0,3730.0,0.1,98.91399999999982,0.0,0.0,528.1443612575531,,,,,,,,,,,,,,,,,,,,,34.85926541049746,27.059051398860827,93.20910915482648,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1619.0,19.0,28.0,3758.0,0.1,12.605999999999995,0.0,0.0,530.977285861969,,,,,,,,,,,,,,,,,,,,,3.7793402948360884,4.283877325124042,12.525216379286787,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1711.0,20.0,92.0,3850.0,0.1,63.906,0.0,0.0,539.2433762550354,,,,,,,,,,,,,,,,,,,,,26.147222622089355,19.432598584057548,61.62364117748155,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,54.0,1.0,54.0,3904.0,0.1,38.205999999999996,0.0,0.0,884.0193407535553,,,,,,,,,,,,,,,,,,,,,14.520002860233012,12.77524256401324,37.49687610087305,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,164.0,2.0,110.0,4014.0,0.1,67.80700000000003,0.0,0.0,894.0809781551361,,,,,,,,,,,,,,,,,,,,,26.433644227225624,18.83078064016325,65.0292926910947,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,465.0,3.0,301.0,4315.0,0.1,204.106,0.0,0.0,920.3030364513397,,,,,,,,,,,,,,,,,,,,,94.18245850217092,55.389097504068985,176.10912212597648,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,582.0,4.0,117.0,4432.0,0.1,90.30699999999999,0.0,0.0,930.923232793808,,,,,,,,,,,,,,,,,,,,,36.983282344461166,27.09637051871808,86.15217416184758,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,644.0,5.0,62.0,4494.0,0.1,29.516000000000034,0.0,0.0,936.7221851348877,,,,,,,,,,,,,,,,,,,,,8.171881232541107,9.53587682297573,29.067449194522293,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,695.0,6.0,51.0,4545.0,0.1,28.90700000000002,0.0,0.0,941.5176410675049,,,,,,,,,,,,,,,,,,,,,9.472248868492729,9.517403740098564,28.480848523906154,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,867.0,7.0,172.0,4717.0,0.1,91.00499999999991,0.0,0.0,956.7218277454376,,,,,,,,,,,,,,,,,,,,,41.35897565772892,25.55234765829966,84.05929070899792,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,895.0,8.0,28.0,4745.0,0.1,13.105999999999995,0.0,0.0,959.5887706279755,,,,,,,,,,,,,,,,,,,,,3.9747896639514733,4.49892639640289,13.020734337349724,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,960.0,9.0,65.0,4810.0,0.1,31.306000000000026,0.0,0.0,965.9293928146362,,,,,,,,,,,,,,,,,,,,,12.676749342914094,9.272677686492958,30.543066883410532,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,1035.0,10.0,75.0,4885.0,0.1,48.105999999999995,0.0,0.0,972.8380742073059,,,,,,,,,,,,,,,,,,,,,18.670406932073064,14.499896364481721,46.79927122326983,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,1142.0,11.0,107.0,4992.0,0.1,68.006,0.0,0.0,982.5603108406067,,,,,,,,,,,,,,,,,,,,,26.05673592540832,19.63050208133894,65.34856102947926,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,1258.0,12.0,116.0,5108.0,0.1,55.40600000000004,0.0,0.0,992.9541702270508,,,,,,,,,,,,,,,,,,,,,19.71104016590265,14.259822170624057,53.22591795073884,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1368.0,13.0,110.0,5218.0,0.1,94.505,0.0,0.0,1003.2078359127045,,,,,,,,,,,,,,,,,,,,,42.424706591895294,28.534244140485846,90.01822871409097,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1421.0,14.0,53.0,5271.0,0.1,32.006,0.0,0.0,1008.4394915103912,,,,,,,,,,,,,,,,,,,,,10.860611605545207,10.615300345435118,31.493342777117565,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1485.0,15.0,64.0,5335.0,0.1,37.706999999999994,0.0,0.0,1014.3674108982086,,,,,,,,,,,,,,,,,,,,,14.236398617968888,11.674926771506021,36.86957276440603,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1520.0,16.0,35.0,5370.0,0.1,17.206000000000017,0.0,0.0,1017.9013447761536,,,,,,,,,,,,,,,,,,,,,5.3743515901890575,5.727294952061845,17.05198461158194,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1741.0,17.0,221.0,5591.0,0.1,140.8089999999999,0.0,0.0,1037.3492181301117,,,,,,,,,,,,,,,,,,,,,59.602045318642546,40.05320925352949,127.89260530257992,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
